pair_type,left_id,left_name,right_id,right_name,gpu_length_mm,case_max_gpu_length_mm,compatible
gpu_case,24,ASRock Arc B580 CHALLENGER OC D6 12GB,87,Antec FLUX PRO MESH (블랙),249.0,455.0,yes
gpu_case,24,ASRock Arc B580 CHALLENGER OC D6 12GB,88,마이크로닉스 WIZMAX 릿지 PRO (블랙),249.0,380.0,yes
gpu_case,25,인텔 Arc Pro B70 D6 32GB,80,DAVEN D7 Mesh 세븐팬 (블랙),267.0,400.0,yes
gpu_case,25,인텔 Arc Pro B70 D6 32GB,81,darkFlash DS500 RGB (블랙),267.0,405.0,yes
gpu_case,25,인텔 Arc Pro B70 D6 32GB,82,잘만 N30 백사십 (블랙),267.0,430.0,yes
gpu_case,25,인텔 Arc Pro B70 D6 32GB,83,앱코 G31 오메가포스 세븐팬 (블랙),267.0,400.0,yes
gpu_case,25,인텔 Arc Pro B70 D6 32GB,84,3RSYS L600 Quiet (블랙),267.0,400.0,yes
gpu_case,25,인텔 Arc Pro B70 D6 32GB,85,오쓰 SOLID FULL MESH (블랙),267.0,400.0,yes
gpu_case,25,인텔 Arc Pro B70 D6 32GB,86,앱코 G50 빅플로우 MESH ARGB BTF (블랙),267.0,408.0,yes
gpu_case,25,인텔 Arc Pro B70 D6 32GB,87,Antec FLUX PRO MESH (블랙),267.0,455.0,yes
gpu_case,25,인텔 Arc Pro B70 D6 32GB,88,마이크로닉스 WIZMAX 릿지 PRO (블랙),267.0,380.0,yes
gpu_case,172,MSI 지포스 RTX 5060 벤투스 2X OC D7 8GB,80,DAVEN D7 Mesh 세븐팬 (블랙),197.0,400.0,yes
gpu_case,172,MSI 지포스 RTX 5060 벤투스 2X OC D7 8GB,81,darkFlash DS500 RGB (블랙),197.0,405.0,yes
gpu_case,172,MSI 지포스 RTX 5060 벤투스 2X OC D7 8GB,82,잘만 N30 백사십 (블랙),197.0,430.0,yes
gpu_case,172,MSI 지포스 RTX 5060 벤투스 2X OC D7 8GB,83,앱코 G31 오메가포스 세븐팬 (블랙),197.0,400.0,yes
gpu_case,172,MSI 지포스 RTX 5060 벤투스 2X OC D7 8GB,84,3RSYS L600 Quiet (블랙),197.0,400.0,yes
gpu_case,172,MSI 지포스 RTX 5060 벤투스 2X OC D7 8GB,85,오쓰 SOLID FULL MESH (블랙),197.0,400.0,yes
gpu_case,172,MSI 지포스 RTX 5060 벤투스 2X OC D7 8GB,86,앱코 G50 빅플로우 MESH ARGB BTF (블랙),197.0,408.0,yes
gpu_case,172,MSI 지포스 RTX 5060 벤투스 2X OC D7 8GB,87,Antec FLUX PRO MESH (블랙),197.0,455.0,yes
gpu_case,172,MSI 지포스 RTX 5060 벤투스 2X OC D7 8GB,88,마이크로닉스 WIZMAX 릿지 PRO (블랙),197.0,380.0,yes
